Kind,Name,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountDeclClass,CountDeclFile,CountLineCode
Package,"(Unnamed_Package)",,2.50,,0,1,,,1,1,6
File,"AbstractAuditListener.java",,1.91,,2,2,,,1,,11
File,"AbstractAuthenticationAuditListener.java",,1.00,,3,3,,,1,,23
File,"AbstractAuthorizationAuditListener.java",,1.00,,3,3,,,1,,23
File,"AbstractCommand.java",,0.72,,7,7,,,1,,36
File,"AbstractConfigurableEmbeddedServletContainer.java",,0.42,,44,44,,,1,,217
File,"AbstractConfigurationClassTests.java",,0.33,,4,4,,,1,,63
File,"AbstractConfigurationMetadataTests.java",,0.54,,4,4,,,1,,37
File,"AbstractCouchbaseAutoConfigurationTests.java",,0.80,,2,2,,,1,,25
File,"AbstractDataSourcePoolMetadata.java",,0.96,,3,3,,,1,,27
File,"AbstractDataSourcePoolMetadataTests.java",,0.34,,12,12,,,5,,77
File,"AbstractDatabaseInitializer.java",,0.41,,5,5,,,1,,54
File,"AbstractDependencyFilterMojo.java",,0.62,,7,7,,,1,,76
File,"AbstractDependsOnBeanFactoryPostProcessor.java",,0.45,,3,4,,,1,,60
File,"AbstractDevToolsDataSourceAutoConfigurationTests.java",,0.16,,12,12,,,6,,125
File,"AbstractEmbeddedServletContainerFactory.java",,0.24,,13,13,,,1,,139
File,"AbstractEmbeddedServletContainerFactoryTests.java",,0.03,,102,103,,,13,,1095
File,"AbstractEndpoint.java",,0.86,,11,11,,,1,,57
File,"AbstractEndpointHandlerMapping.java",,0.57,,21,21,,,1,,159
File,"AbstractEndpointHandlerMappingTests.java",,0.20,,12,12,,,5,,104
File,"AbstractEndpointMvcAdapter.java",,0.75,,9,9,,,1,,51
File,"AbstractEndpointTests.java",,0.13,,18,18,,,1,,157
File,"AbstractErrorController.java",,0.48,,7,7,,,1,,71
File,"AbstractExecutableArchiveLauncherTests.java",,0.29,,3,3,,,1,,69
File,"AbstractFailureAnalyzer.java",,1.21,,4,4,,,1,,29
File,"AbstractFieldValuesProcessorTests.java",,0.23,,5,5,,,2,,93
File,"AbstractFilterRegistrationBean.java",,0.81,,17,17,,,1,,136
File,"AbstractFilterRegistrationBeanTests.java",,0.13,,19,19,,,1,,184
File,"AbstractHealthAggregator.java",,1.71,,3,3,,,1,,21
